Nazwa naukowa;Nazwa polska;Gromada;Rząd;Podrząd;Rodzina
Acanthoscurria antillensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria cordubensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria chacoana;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria geniculata;Ptasznik białokolankowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria insubtilis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria musculosa;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria natalensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria simoensi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria sternalis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Acanthoscurria turcapelma;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Amazonius burgessi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Amazonius germani;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ami blondi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma anax;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma bicoloratum;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma chalcodes;Ptasznik arizoński blond;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma gabeli;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma hentzi;Ptasznik teksański brąz;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma iodius;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
